DATE,TOTAL
01-04-2018,115
02-04-2018,119
03-04-2018,112
04-04-2018,118
05-04-2018,122
06-04-2018,120
07-04-2018,113
08-04-2018,108
09-04-2018,103
10-04-2018,109
11-04-2018,110
12-04-2018,112
13-04-2018,110
14-04-2018,103
15-04-2018,109
16-04-2018,114
17-04-2018,122
18-04-2018,122
19-04-2018,120
20-04-2018,114
21-04-2018,111
22-04-2018,106
23-04-2018,102
24-04-2018,110
25-04-2018,116
26-04-2018,125
27-04-2018,120
28-04-2018,114
29-04-2018,106
30-04-2018,105
01-05-2018,111
02-05-2018,120
03-05-2018,110
04-05-2018,102
05-05-2018,111
06-05-2018,121
07-05-2018,124
08-05-2018,127
09-05-2018,117
10-05-2018,115
11-05-2018,109
12-05-2018,103
13-05-2018,100
14-05-2018,91
15-05-2018,84
16-05-2018,82
17-05-2018,77
18-05-2018,72
19-05-2018,74
20-05-2018,74
21-05-2018,65
22-05-2018,53
23-05-2018,52
24-05-2018,52
25-05-2018,55
26-05-2018,66
27-05-2018,63
28-05-2018,61
29-05-2018,59
30-05-2018,62
31-05-2018,71
01-06-2018,53
02-06-2018,49
03-06-2018,50
04-06-2018,51
05-06-2018,48
06-06-2018,54
07-06-2018,54
08-06-2018,51
09-06-2018,53
10-06-2018,56
11-06-2018,48
12-06-2018,49
13-06-2018,55
14-06-2018,44
15-06-2018,56
16-06-2018,48
17-06-2018,55
18-06-2018,45
19-06-2018,49
20-06-2018,53
21-06-2018,50
22-06-2018,48
23-06-2018,53
24-06-2018,53
25-06-2018,49
26-06-2018,53
27-06-2018,43
28-06-2018,51
29-06-2018,52
30-06-2018,47
01-07-2018,50
02-07-2018,44
03-07-2018,53
04-07-2018,51
05-07-2018,50
06-07-2018,54
07-07-2018,58
08-07-2018,50
09-07-2018,50
10-07-2018,44
11-07-2018,51
12-07-2018,45
13-07-2018,51
14-07-2018,52
15-07-2018,49
16-07-2018,55
17-07-2018,56
18-07-2018,58
19-07-2018,62
20-07-2018,61
21-07-2018,61
22-07-2018,71
23-07-2018,67
24-07-2018,75
25-07-2018,70
26-07-2018,80
27-07-2018,86
28-07-2018,83
29-07-2018,74
30-07-2018,81
31-07-2018,77
01-08-2018,115
02-08-2018,125
03-08-2018,130
04-08-2018,126
05-08-2018,118
06-08-2018,107
07-08-2018,121
08-08-2018,122
09-08-2018,145
10-08-2018,136
11-08-2018,128
12-08-2018,122
13-08-2018,109
14-08-2018,100
15-08-2018,111
16-08-2018,119
17-08-2018,120
18-08-2018,118
19-08-2018,115
20-08-2018,117
21-08-2018,111
22-08-2018,112
23-08-2018,119
24-08-2018,119
25-08-2018,118
26-08-2018,124
27-08-2018,129
28-08-2018,121
29-08-2018,128
30-08-2018,124
31-08-2018,126
01-09-2018,120
02-09-2018,115
03-09-2018,108
04-09-2018,109
05-09-2018,121
06-09-2018,130
07-09-2018,127
08-09-2018,133
09-09-2018,126
10-09-2018,134
11-09-2018,126
12-09-2018,122
13-09-2018,129
14-09-2018,129
15-09-2018,124
16-09-2018,120
17-09-2018,123
18-09-2018,122
19-09-2018,116
20-09-2018,104
21-09-2018,125
22-09-2018,130
23-09-2018,127
24-09-2018,118
25-09-2018,116
26-09-2018,111
27-09-2018,116
28-09-2018,120
29-09-2018,126
30-09-2018,131
01-10-2018,115
02-10-2018,119
03-10-2018,123
04-10-2018,134
05-10-2018,128
06-10-2018,126
07-10-2018,120
08-10-2018,107
09-10-2018,98
10-10-2018,89
11-10-2018,88
12-10-2018,88
13-10-2018,90
14-10-2018,99
15-10-2018,100
16-10-2018,115
17-10-2018,120
18-10-2018,130
19-10-2018,124
20-10-2018,124
21-10-2018,121
22-10-2018,119
23-10-2018,116
24-10-2018,124
25-10-2018,118
26-10-2018,113
27-10-2018,113
28-10-2018,108
29-10-2018,108
30-10-2018,99
31-10-2018,97
