Date,Meal,Menu
02-04-2018,Dinner,CHANA DAL TADKA
02-04-2018,Dinner,CHAPATI
02-04-2018,Dinner,EGG CURRY
02-04-2018,Dinner,raitha
02-04-2018,Dinner,nutrela MUTTER
02-04-2018,Dinner,SALAD HARA BHARA
02-04-2018,Dinner,SAMBAR
02-04-2018,Dinner,STEAM RICE
02-04-2018,lunch,ACHARI ALOO
02-04-2018,lunch,CHAPATI
02-04-2018,lunch,DHABA CHICKEN 
02-04-2018,lunch,GREEN SALAD
02-04-2018,lunch,raitha
02-04-2018,lunch,RAJMA RASILA
02-04-2018,lunch,Sambar
02-04-2018,lunch,STEAM RICE
03-04-2018,Dinner,CHAPATI
03-04-2018,Dinner,DHABA DAL
03-04-2018,Dinner,EGG CURRY
03-04-2018,Dinner,KADHAI VEG
03-04-2018,Dinner,raitha
03-04-2018,Dinner,MIX SALAD
03-04-2018,Dinner,Sambar
03-04-2018,Dinner,STEAM RICE
03-04-2018,Lunch,raitha
03-04-2018,Lunch,BUTTER CHICKEN
03-04-2018,Lunch,CHAPATI
03-04-2018,Lunch,Coconut LADOO
03-04-2018,Lunch,DAL TADKA
03-04-2018,Lunch,KADHAI PANEER
03-04-2018,Lunch,Sambar
03-04-2018,Lunch,SPROUT SALAD
03-04-2018,Lunch,STEAM RICE
04-04-2018,Dinner,CHAPATI
04-04-2018,Dinner,CHICKEN  CURRY
04-04-2018,Dinner,raitha
04-04-2018,Dinner,FINGER SALAD
04-04-2018,Dinner,GHIYA MASALA
04-04-2018,Dinner,KALA CHANA
04-04-2018,Dinner,Sambar
04-04-2018,Dinner,STEAM RICE
04-04-2018,Lunch,ALOO HINGH WALA
04-04-2018,Lunch,CHAPATI
04-04-2018,Lunch,CHUTNEY
04-04-2018,Lunch,EGG MASALA
04-04-2018,Lunch,LACHA ONION
04-04-2018,Lunch,PANJABI KADHI
04-04-2018,Lunch,Sambar
04-04-2018,Lunch,STEAM RICE
05-04-2018,Dinner,BLACK MASOOR DAL
05-04-2018,Dinner,CHAPATI
05-04-2018,Dinner,DUMALOO
05-04-2018,Dinner,EGG CURRY
05-04-2018,Dinner,GARDEN SALAD
05-04-2018,Dinner,raitha
05-04-2018,Dinner,Sambar
05-04-2018,Dinner,STEAM RICE
05-04-2018,Lunch,CHAPATI
05-04-2018,Lunch,CHICKEN MAKHANI
05-04-2018,Lunch,chole MASALA
05-04-2018,Lunch,MIX VEG
05-04-2018,Lunch,raitha
05-04-2018,Lunch,PEAS PULAO
05-04-2018,Lunch,Sambar
05-04-2018,Lunch,VINEGAR ONION
06-04-2018,Dinner,CHAPATI
06-04-2018,Dinner,CUCUMBER SALAD
06-04-2018,Dinner,DAL LAHSUNI
06-04-2018,Dinner,EGG MASALA
06-04-2018,Dinner,raitha
06-04-2018,Dinner,Sambar
06-04-2018,Dinner,STEAM RICE
06-04-2018,Dinner,veg KOFTA CURRY
06-04-2018,Lunch,fish curry
06-04-2018,Lunch,CHAPATI
06-04-2018,Lunch,DAL MAKHANI
06-04-2018,Lunch,raitha
06-04-2018,Lunch,GREEN SALAD
06-04-2018,Lunch,JEERA RICE
06-04-2018,Lunch,PANEER DO pyaza
06-04-2018,Lunch,RICE KHEER
06-04-2018,Lunch,Sambar
07-04-2018,Dinner,ALOO CAPSICUM
07-04-2018,Dinner,CHAPATI
07-04-2018,Dinner,CHICKEN LABABDAR
07-04-2018,Dinner,FINGER SALAD
07-04-2018,Dinner,raitha
07-04-2018,Dinner,RAJMA
07-04-2018,Dinner,Sambar
07-04-2018,Dinner,STEAM RICE
07-04-2018,Lunch,CHAPATI
07-04-2018,Lunch,CHICKEN CHETTINAD
07-04-2018,Lunch,DAL
07-04-2018,Lunch,dosa ALOO
07-04-2018,Lunch,GREEN SALAD
07-04-2018,Lunch,Sambar
07-04-2018,Lunch,raitha
07-04-2018,Lunch,TOMATO RICE
08-04-2018,Dinner,ALOO GOBHI ADRKI
08-04-2018,Dinner,CHAPATI
08-04-2018,Dinner,EGG CURRY
08-04-2018,Dinner,Lobhiya Dal
08-04-2018,Dinner,raitha
08-04-2018,Dinner,SALAD HARA bhara
08-04-2018,Dinner,Sambar
08-04-2018,Dinner,STEAM RICE
08-04-2018,Lunch,raitha
08-04-2018,Lunch,CHAPATI
08-04-2018,Lunch,CHICKEN BIRYANI
08-04-2018,Lunch,GREEN SALAD
08-04-2018,Lunch,MIRCHI BAIGAN KA SALAN
08-04-2018,Lunch,Sambar
08-04-2018,Lunch,VEG BIRYANI
16-04-2018,Dinner,CHAPATI
16-04-2018,Dinner,DAL JAIPURI
16-04-2018,Dinner,EGG CURRY
16-04-2018,Dinner,KADHAI VEG
16-04-2018,Dinner,raitha
16-04-2018,Dinner,SALAD HARA BHARA
16-04-2018,Dinner,SAMBAR
16-04-2018,Dinner,STEAM RICE
16-04-2018,lunch,ALOO TAMATRI
16-04-2018,lunch,CHAPATI
16-04-2018,lunch,DHABA CHICKEN 
16-04-2018,lunch,GREEN SALAD
16-04-2018,lunch,raitha
16-04-2018,lunch,RAJMA MASALA
16-04-2018,lunch,Sambar
16-04-2018,lunch,STEAM RICE
17-04-2018,Dinner,ALOO GOBHI ADRKI
17-04-2018,Dinner,CHAPATI
17-04-2018,Dinner,DAL tiranga
17-04-2018,Dinner,raitha
17-04-2018,Dinner,EGG CURRY
17-04-2018,Dinner,MIX SALAD
17-04-2018,Dinner,Sambar
17-04-2018,Dinner,STEAM RICE
17-04-2018,Lunch,BLACK MASOOR DAL
17-04-2018,Lunch,raitha
17-04-2018,Lunch,BUTTER CHICKEN
17-04-2018,Lunch,CHAPATI
17-04-2018,Lunch,GULAB JAMUN
17-04-2018,Lunch,PALAK PANEER
17-04-2018,Lunch,Sambar
17-04-2018,Lunch,SPROUT SALAD
17-04-2018,Lunch,STEAM RICE
18-04-2018,Dinner,CHAPATI
18-04-2018,Dinner,CHICKEN  CURRY
18-04-2018,Dinner,raitha
18-04-2018,Dinner,DAL MAKHANI
18-04-2018,Dinner,FINGER SALAD
18-04-2018,Dinner,Sambar
18-04-2018,Dinner,SOYA KEEMA MUTTER
18-04-2018,Dinner,STEAM RICE
18-04-2018,Lunch,ALOO PALAK DRY
18-04-2018,Lunch,CHAPATI
18-04-2018,Lunch,CHUTNEY
18-04-2018,Lunch,EGG MASALA
18-04-2018,Lunch,LACHA ONION
18-04-2018,Lunch,PANJABI KADHI
18-04-2018,Lunch,Sambar
18-04-2018,Lunch,STEAM RICE
19-04-2018,Dinner,CHAPATI
19-04-2018,Dinner,DAL SULTANI
19-04-2018,Dinner,EGG CURRY
19-04-2018,Dinner,GARDEN SALAD
19-04-2018,Dinner,veg KOFTA CURRY
19-04-2018,Dinner,raitha
19-04-2018,Dinner,Sambar
19-04-2018,Dinner,STEAM RICE
19-04-2018,Lunch,CHAPATI
19-04-2018,Lunch,CHICKEN MAKHANI
19-04-2018,Lunch,chole AMRITSARI
19-04-2018,Lunch,MIX VEG
19-04-2018,Lunch,raitha
19-04-2018,Lunch,PEAS PULAO
19-04-2018,Lunch,Sambar
19-04-2018,Lunch,VINEGAR ONION
